Markets;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
Germany;238735;238735;244127;257642;239644;254866;243650;237786;235092;247125;257792
Italy;38048;38048;;;;47006;50107;51341;50500;55574;59002
Great Britain;35724;35724;;;;54140;65552;70107;77882;81374;86003
USA;34160;34160;52096;65959;80372;83283;85726;86424;77917;83066;90116
France;27873;27873;;;;40521;40793;37467;37676;41498;45525
Spain;27771;27771;;;;42118;41052;41124;43764;49453;54557
Belgium;16330;16330;;;;20028;19738;19228;21509;24337;26517
Netherlands;;;;;;12753;;;15038;16824;17573
Austria;15454;15454;;;;16924;15710;16933;15711;17058;17103
Switzerland;13937;13937;;;;18548;15097;17201;14105;12830;13947
Sweden;12026;12026;;;;11214;;;11598;12465;14583
China;;;;6911;17451;29370;37034;63531;64018;58878;81708
Japan;9973;10767;8828;6429;6972;8127;11648;13137;13751;15388;14976
Rest of the world;22015;86952;;;;99989;116445;116919;100880;113239;125786
Total Audi Brand;492046;559774;604088;634973;653404;726134;742552;771198;779441;829109;905188
