Modell;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
A2;;;;;32164;49369;37578;27323;19745;10026;0
A3;;;;;;;;151117;121904;70395;69813
A3 Sportsback;;;;;;;;;52846;150091;159581
A3 total;51813;128123;143974;143333;136141;144756;125538;151117;174750;220486;229394
A4 Saloon;;;;;;;;;168621;157310;165139
A4 Avant;;;;;;;;;144402;155620;142027
A4Cabriolet;;;;;;;;29285;31962;22076;27735
RS4 Limousine;;;;;;;;;4;544;4384
RS4 Avant;;;;;;;;;0;12;2666
RS4 Cabriolet;;;;;;;;;0;13;589
A4/RS4 total;313927;283250;265414;248428;227028;309151;339562;327463;344989;335575;342540
A5 Coupe;;;;;;;;;0;10;487
A6 Saloon;;;;;;;;;148034;131344;150901
A6 Avant;;;;;;;;;33667;73334;70430
A6 allroad quattro;;;;;11439;19995;19998;17634;14796;4295;11838
RS 6;0;0;0;0;0;0;0;4841;1233;;
Audi 100;106871;34945;0;0;0;0;0;0;;;
A6 total;152934;122240;174867;161037;169276;162314;158775;153318;197730;208973;233169
Audi Q7;0;0;0;0;0;0;0;0;46;1194;72188
A8;;;;;;;;;22429;21509;22468
R8;;;;;;;;;;6;164
A8 Total;11098;15507;15355;14636;12894;11708;10942;21748;22429;21515;22632
Audi TT Coupe;;;13682;52579;31064;22078;21488;20807;14753;8368;21461
Audi TT Roadster;;;;;25712;17271;13223;11530;8852;3939;2214
Audi TT total;;;13682;52579;56776;39349;34711;32337;23605;12307;23675
Audi Brand Total;644980;592722;619030;620013;648029;736826;747809;760225;783294;810086;924085
Threreof Convertibles;8337;8657;5738;;2311;184;20705;29285;31962;26028;30538
Lamborghini;;;;;;;;;;;
Lamborghini Murcielago;;;;;;;;424;384;464;444
Lamborghini Gallardo;;;;;;;;933;1294;972;1651
Lamborghini total;;;;252;291;280;442;1357;1678;1436;2095
Audi Total;644980;592722;619030;620265;648320;737106;748251;761582;784972;811522;926180
